Genre,Movie Name,Movie Year
Animation,Ratatouille,2007
Animation,Fantastic Mr. Fox,2009
Animation,Moana,2016
Animation,Sing 2,2021
Animation,Monster House,2006
Animation,The Lion King,2019
Animation,Frozen,2013
Animation,Howl's Moving Castle,2004
Animation,Chicken Run,2000
Animation,The Incredibles,2004
Animation,Toy Story,1995
Animation,Inside Out,2015
Animation,Zootopia,2016
Animation,Kung Fu Panda,2008
Animation,Sing,2016
Animation,Trolls,2016
Animation,"Ruby Gillman, Teenage Kraken",2023
Animation,"Monsters, Inc.",2001
Animation,Leo,2023
Animation,Up,2009
Animation,Migration,2023
Animation,Shrek,2001
Animation,Hercules,1997
Animation,Finding Nemo,2003
Animation,Frankenweenie,2012
Animation,The Addams Family,2019
Animation,Tarzan,1999
Animation,The Canterville Ghost,2023
Animation,Your Name.,2016
Horror,Five Nights at Freddy's,2023
Horror,Saw X,2023
Horror,Totally Killer,2023
Horror,The Exorcist: Believer,2023
Horror,Haunted Mansion,2023
Horror,The Conference,2023
Horror,Talk to Me,2022
Horror,X,2022
Horror,Hocus Pocus,1993
Horror,No One Will Save You,2023
Horror,Winnie the Pooh: Blood and Honey,2023
Horror,A Haunting in Venice,2023
Horror,The Exorcist,1973
Horror,The Nun II,2023
Horror,Dark Harvest,2023
Horror,The Boogeyman,2023
Horror,Saw,2004
Horror,Pet Sematary: Bloodlines,2023
Horror,Friday the 13th,1980
Horror,Scream,1996
Horror,The Devil on Trial,2023
Horror,Deliver Us from Evil,2014
Horror,Halloween,1978
Horror,Get Out,2017
Horror,Rosemary's Baby,1968
Horror,Meg 2: The Trench,2023
Horror,Trick 'r Treat,2007
Horror,Renfield,2023
Horror,Gerald's Game,2017
Horror,A Nightmare on Elm Street,1984
Horror,Carrie,1976
Horror,Doctor Sleep,2019
Horror,Us,2019
Horror,Pearl,2022
Horror,The Shining,1980
Horror,Iron Lung,
Horror,Midsommar,2019
Horror,The Lost Boys,1987
Horror,Scream VI,2023
Horror,It,2017
Horror,Slotherhouse,2023
Horror,Friday the 13th,2009
Horror,Evil Dead Rise,2023
Horror,Hereditary,2018
Horror,The Nun,2018
Horror,The Thing,1982
Horror,Poltergeist,1982
Horror,Bram Stoker's Dracula,1992
Horror,Terrifier 2,2022
Horror,Scream,2022
Sport,The Iron Claw,2023
Sport,Gran Turismo,2023
Sport,Rocky,1976
Sport,The Sandlot,1993
Sport,Champions,2023
Sport,The Boys in the Boat,2023
Sport,Somewhere in Queens,2022
Sport,Nyad,2023
Sport,Cars,2006
Sport,Air,2023
Sport,Ford v Ferrari,2019
Sport,Remember the Titans,2000
Sport,The Hustler,1961
Sport,Happy Gilmore,1996
Sport,The Replacements,2000
Sport,Dodgeball: A True Underdog Story,2004
Sport,The Longest Yard,2005
Sport,The Karate Kid,1984
Sport,Raging Bull,1980
Sport,The Waterboy,1998
Sport,Warrior,2011
Sport,Talladega Nights: The Ballad of Ricky Bobby,2006
Sport,Moneyball,2011
Sport,A League of Their Own,1992
Sport,Cinderella Man,2005
Sport,Bloodsport,1988
Sport,Creed III,2023
Sport,Rush,2013
Sport,Next Goal Wins,2023
Sport,She's the Man,2006
Sport,The Deepest Breath,2023
Sport,Rocky III,1982
Sport,Rudy,1993
Sport,Bring It On,2000
Sport,Back to School,1986
Sport,The Hill,2023
Sport,"I, Tonya",2017
Sport,Unbroken,2014
Sport,Jerry Maguire,1996
Sport,Bend It Like Beckham,2002
Sport,Nacho Libre,2006
Sport,The Color of Money,1986
Sport,Varsity Blues,1999
Sport,Kingpin,1996
Sport,The Fighter,2010
Sport,The Longest Yard,1974
Sport,Rocky IV,1985
Sport,Molly's Game,2017
Sport,Million Dollar Baby,2004
Sport,Cassandro,2023
Adventure,The Creator,2023
Adventure,Mission: Impossible - Dead Reckoning Part One,2023
Adventure,Expend4bles,2023
Adventure,Barbie,2023
Adventure,Napoleon,2023
Adventure,The Marvels,2023
Adventure,Elemental,2023
Adventure,Gran Turismo,2023
Adventure,The Killer,2023
Adventure,Spider-Man: Across the Spider-Verse,2023
Adventure,Deliver Us from Evil,2014
Adventure,The Hunger Games: The Ballad of Songbirds and Snakes,2023
Adventure,Wonka,2023
Adventure,Meg 2: The Trench,2023
Adventure,Wish,2023
Adventure,The Little Mermaid,2023
Adventure,Strays,2023
Adventure,PAW Patrol: The Mighty Movie,2023
Adventure,Dungeons & Dragons: Honor Among Thieves,2023
Adventure,Harry Potter and the Sorcerer's Stone,2001
Adventure,Guardians of the Galaxy Vol. 3,2023
Adventure,Blue Beetle,2023
Adventure,Dune,2021
Adventure,Teenage Mutant Ninja Turtles: Mutant Mayhem,2023
Adventure,The Boy and the Heron,2023
Adventure,Indiana Jones and the Dial of Destiny,2023
Adventure,Interstellar,2014
Adventure,Spider-Man: No Way Home,2021
Adventure,Fast X,2023
Adventure,The Flash,2023
Adventure,The Misfits,2021
Adventure,The Hunger Games,2012
Adventure,Kingdom of Heaven,2005
Adventure,Trolls Band Together,2023
Adventure,The Super Mario Bros. Movie,2023
Adventure,Everything Everywhere All at Once,2022
Adventure,Gladiator,2000
Adventure,Dune: Part Two,2024
Adventure,Inception,2010
Adventure,The Lord of the Rings: The Fellowship of the Ring,2001
Adventure,Transformers: Rise of the Beasts,2023
Adventure,Avatar: The Way of Water,2022
Adventure,Avengers: Endgame,2019
Adventure,Cruella,2021
Adventure,The Descent,2005
Adventure,Jurassic Park,1993
Adventure,Goosebumps,2015
Adventure,The Darkest Minds,2018
Adventure,Scooby-Doo,2002
Adventure,Inglourious Basterds,2009
Musical,Mean Girls,2024
Musical,The Nightmare Before Christmas,1993
Musical,Wonka,2023
Musical,Wish,2023
Musical,The Little Mermaid,2023
Musical,The Rocky Horror Picture Show,1975
Musical,Joker: Folie à Deux,2024
Musical,Dicks: The Musical,2023
Musical,Corpse Bride,2005
Musical,Encanto,2021
Musical,Yaariyan 2,2023
Musical,Snow White,2024
Musical,Willy Wonka & the Chocolate Factory,1971
Musical,The Lion King,1994
Musical,Little Shop of Horrors,1986
Musical,Charlie and the Chocolate Factory,2005
Musical,La La Land,2016
Musical,Grease,1978
Musical,The Greatest Showman,2017
Musical,The Wizard of Oz,1939
Musical,Moana,2016
Musical,Sing 2,2021
Musical,The Lion King,2019
Musical,Beauty and the Beast,2017
Musical,Frozen,2013
Musical,Sweeney Todd: The Demon Barber of Fleet Street,2007
Musical,The Phantom of the Opera,2004
Musical,Hamilton,2020
Musical,The Color Purple,2023
Musical,Sing,2016
Musical,Trolls,2016
Musical,Les Misérables,2012
Musical,Aladdin,2019
Musical,Labyrinth,1986
Musical,Leo,2023
Musical,Mamma Mia!,2008
Musical,Hercules,1997
Musical,Mary Poppins,1964
Musical,The Sound of Music,1965
Musical,Tangled,2010
Musical,Aladdin,1992
Musical,The Road to El Dorado,2000
Musical,Moulin Rouge!,2001
Musical,The Ballad of Buster Scruggs,2018
Musical,Snow White and the Seven Dwarfs,1937
Musical,Beauty and the Beast,1991
Musical,West Side Story,2021
Musical,The Little Mermaid,1989
Musical,The Prince of Egypt,1998
Musical,Mulan,1998
War,Expend4bles,2023
War,Napoleon,2023
War,The Hunger Games: The Ballad of Songbirds and Snakes,2023
War,The Covenant,2023
War,The Zone of Interest,2023
War,Kingdom of Heaven,2005
War,Inglourious Basterds,2009
War,Tropic Thunder,2008
War,The Caine Mutiny Court-Martial,2023
War,Sisu,2022
War,Golda,2023
War,Saving Private Ryan,1998
War,Brothers,2009
War,Hacksaw Ridge,2016
War,Black Hawk Down,2001
War,Apocalypse Now,1979
War,Braveheart,1995
War,Fury,2014
War,All Quiet on the Western Front,2022
War,The Deer Hunter,1978
War,The Pianist,2002
War,Malena,2000
War,Come and See,1985
War,1917,2019
War,Richard III,1955
War,Life Is Beautiful,1997
War,The Bridge on the River Kwai,1957
War,The Outpost,2019
War,Saboteur,1942
War,Jojo Rabbit,2019
War,Full Metal Jacket,1987
War,Incendies,2010
War,The Imitation Game,2014
War,Pan's Labyrinth,2006
War,American Sniper,2014
War,Casablanca,1942
War,Legends of the Fall,1994
War,Dunkirk,2017
War,The King,2019
War,Wonder Woman,2017
War,Atonement,2007
War,Red Dawn,1984
War,Australia,2008
War,Gone with the Wind,1939
War,The Last of the Mohicans,1992
War,Lawrence of Arabia,1962
War,Zero Dark Thirty,2012
War,13 Hours,2016
War,Downfall,2004
War,All Things Fair,1995
Western,Killers of the Flower Moon,2023
Western,Django Unchained,2012
Western,Wind River,2017
Western,Butcher's Crossing,2022
Western,Dances with Wolves,1990
Western,The Revenant,2015
Western,Bone Tomahawk,2015
Western,"The Good, the Bad and the Ugly",1966
Western,The Hateful Eight,2015
Western,Tombstone,1993
Western,Blazing Saddles,1974
Western,Legends of the Fall,1994
Western,Hell or High Water,2016
Western,Australia,2008
Western,Birthright Outlaw,2023
Western,Unforgiven,1992
Western,The Magnificent Seven,2016
Western,Once Upon a Time in the West,1968
Western,The Ballad of Buster Scruggs,2018
Western,The Power of the Dog,2021
Western,Hostiles,2017
Western,The Devil's Rejects,2005
Western,The Quick and the Dead,1995
Western,True Grit,2010
Western,The Dark Tower,2017
Western,Horizon: An American Saga,2024
Western,Westward the Women,1951
Western,The Magnificent Seven,1960
Western,The Mask of Zorro,1998
Western,Soldier Blue,1970
Western,Mail Order Bride,1964
Western,The Harder They Fall,2021
Western,Three Amigos!,1986
Western,3:10 to Yuma,2007
Western,Rust,
Western,Young Guns,1988
Western,Wild Wild West,1999
Western,The Warrior's Way,2010
Western,Butch Cassidy and the Sundance Kid,1969
Western,Free State of Jones,2016
Western,Rango,2011
Western,Tickle Me,1965
Western,The Outlaw Josey Wales,1976
Western,Rio Bravo,1959
Western,Old Henry,2021
Western,Desperado,1995
Western,The Assassination of Jesse James by the Coward Robert Ford,2007
Western,Appaloosa,2008
Western,The Old Way,2023
Western,The Last Stand,2013
Action,The Creator,2023
Action,Mission: Impossible - Dead Reckoning Part One,2023
Action,Expend4bles,2023
Action,The Equalizer 3,2023
Action,Napoleon,2023
Action,Leo,2023
Action,John Wick: Chapter 4,2023
Action,The Marvels,2023
Action,Gran Turismo,2023
Action,The Killer,2023
Action,Spider-Man: Across the Spider-Verse,2023
Action,Deliver Us from Evil,2014
Action,The Hunger Games: The Ballad of Songbirds and Snakes,2023
Action,Meg 2: The Trench,2023
Action,The Covenant,2023
Action,Ballerina,2023
Action,PAW Patrol: The Mighty Movie,2023
Action,Dungeons & Dragons: Honor Among Thieves,2023
Action,Guardians of the Galaxy Vol. 3,2023
Action,Blue Beetle,2023
Action,Dune,2021
Action,Teenage Mutant Ninja Turtles: Mutant Mayhem,2023
Action,Ganapath,2023
Action,Indiana Jones and the Dial of Destiny,2023
Action,The Dark Knight,2008
Action,The Batman,2022
Action,The Equalizer,2014
Action,Top Gun: Maverick,2022
Action,American Made,2017
Action,Spider-Man: No Way Home,2021
Action,Fast X,2023
Action,The Flash,2023
Action,The Misfits,2021
Action,The Hunger Games,2012
Action,Kingdom of Heaven,2005
Action,Khufiya,2023
Action,Everything Everywhere All at Once,2022
Action,Gladiator,2000
Action,Dune: Part Two,2024
Action,Inception,2010
Action,The Lord of the Rings: The Fellowship of the Ring,2001
Action,Blade Runner 2049,2017
Action,Gemini Man,2019
Action,John Wick,2014
Action,Transformers: Rise of the Beasts,2023
Action,Jawan,2023
Action,Avatar: The Way of Water,2022
Action,Avengers: Endgame,2019
Action,Ghostbusters,1984
Action,Bullet Train,2022
Mystery,Reptile,2023
Mystery,Five Nights at Freddy's,2023
Mystery,Saw X,2023
Mystery,Fair Play,2023
Mystery,Haunted Mansion,2023
Mystery,The Conference,2023
Mystery,X,2022
Mystery,Eileen,2023
Mystery,A Haunting in Venice,2023
Mystery,The Nun II,2023
Mystery,The Boogeyman,2023
Mystery,Saw,2004
Mystery,The Killer,2023
Mystery,Friday the 13th,1980
Mystery,Scream,1996
Mystery,Deliver Us from Evil,2014
Mystery,Get Out,2017
Mystery,Awareness,2023
Mystery,Carrie,1976
Mystery,Us,2019
Mystery,Midsommar,2019
Mystery,Scream VI,2023
Mystery,Friday the 13th,2009
Mystery,The Batman,2022
Mystery,Hereditary,2018
Mystery,The Nun,2018
Mystery,The Thing,1982
Mystery,Scream,2022
Mystery,Fast X,2023
Mystery,Sinister,2012
Mystery,The Haunted Mansion,2003
Mystery,Sleepy Hollow,1999
Mystery,The Conjuring,2013
Mystery,Ma,2019
Mystery,Khufiya,2023
Mystery,Last Night in Soho,2021
Mystery,The Strangers,2008
Mystery,The Witch,2015
Mystery,Hubie Halloween,2020
Mystery,Blade Runner 2049,2017
Mystery,Barbarian,2022
Mystery,Saw II,2005
Mystery,Se7en,1995
Mystery,Donnie Darko,2001
Mystery,Knives Out,2019
Mystery,Friday the 13th: Part 2,1981
Mystery,The Mill,2023
Mystery,Eyes Wide Shut,1999
Mystery,Don't Worry Darling,2022
Mystery,Smile,2022
History,Killers of the Flower Moon,2023
History,Ferrari,2023
History,Oppenheimer,2023
History,Napoleon,2023
History,Sound of Freedom,2023
History,The Zone of Interest,2023
History,Babylon,2022
History,Kingdom of Heaven,2005
History,Schindler's List,1993
History,The Big Short,2015
History,Mission Raniganj,2023
History,Golda,2023
History,Jeanne du Barry,2023
History,BlackBerry,2023
History,Hacksaw Ridge,2016
History,The Three Musketeers - Part I: D'Artagnan,2023
History,Black Hawk Down,2001
History,The Northman,2022
History,Silence,2016
History,The Peasants,2023
History,Braveheart,1995
History,Amsterdam,2022
History,Tombstone,1993
History,Munich,2005
History,Hamilton,2020
History,Richard III,1955
History,The Promised Land,2023
History,The Outpost,2019
History,Hidden Figures,2016
History,The Last Duel,2021
History,Caligula,1979
History,Dunkirk,2017
History,The King,2019
History,Curiosa,2019
History,Blonde,2022
History,Tetris,2023
History,The Favourite,2018
History,Rustin,2023
History,El Conde,2023
History,Zero Dark Thirty,2012
History,13 Hours,2016
History,Downfall,2004
History,12 Years a Slave,2013
History,Midway,2019
History,The Agony and the Ecstasy,1965
History,Once Upon a Star,2023
History,Marie Antoinette,2006
History,The Impossible,2012
History,Pearl Harbor,2001
History,Mujib: The Making of Nation,2023
